[e95d111e:2018-01-20T04:47:35.447233]: Works
[eab4c6d7:2018-01-20T04:47:35.920262]: Works
[f636bce3:2018-01-20T04:47:36.157489]: Works
[29ae7711:2018-01-20T14:45:08.169524]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[48a6789c:2018-01-20T14:45:28.154186]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[7b08100f:2018-01-20T14:45:58.888648]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[29952688:2018-01-20T14:46:20.353433]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[ddd94583:2018-01-20T14:46:41.799948]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[cf4e1631:2018-01-20T14:47:05.458325]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[cb03b10a:2018-01-20T14:47:15.437457]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[c729835f:2018-01-20T14:47:26.375983]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[a81658a6:2018-01-20T14:47:28.125350]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[e73f4bbb:2018-01-20T14:47:54.777869]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[d8f084b8:2018-01-20T14:48:08.081247]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[33133ad3:2018-01-20T14:48:26.835967]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[729fcc3d:2018-01-20T14:48:28.205522]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[298aee24:2018-01-20T14:48:58.125466]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[053c6454:2018-01-20T14:49:22.131671]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[2d3d4899:2018-01-20T14:49:45.582166]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[b8c419d4:2018-01-20T14:50:01.175779]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[20b51b55:2018-01-20T14:50:24.650043]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[23e48528:2018-01-20T14:50:45.498119]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[51af7260:2018-01-20T14:51:00.108246]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[952edff8:2018-01-20T14:51:36.430832]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
